freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.817e+01,1.032e+01,5.700e+02,5.985e+02
1.5,2.402e+01,2.464e+01,3.361e+02,3.848e+02
3.1,1.867e+01,2.684e+01,3.195e+01,7.746e+01
4.6,1.806e+01,2.988e+01,3.118e+02,3.597e+02
6.1,1.770e+01,2.938e+01,1.213e+03,1.260e+03
7.6,1.797e+01,2.969e+01,1.897e+03,1.945e+03
9.2,1.816e+01,2.896e+01,2.335e+03,2.382e+03
10.7,1.825e+01,2.739e+01,3.260e+03,3.306e+03
12.2,1.935e+01,2.715e+01,4.472e+03,4.518e+03
13.7,2.031e+01,2.496e+01,5.878e+03,5.923e+03
15.3,2.212e+01,2.545e+01,7.460e+03,7.507e+03
16.8,2.402e+01,2.995e+01,9.163e+03,9.217e+03
18.3,2.624e+01,3.108e+01,1.137e+04,1.143e+04
19.8,2.896e+01,2.945e+01,1.397e+04,1.403e+04
21.4,3.111e+01,2.652e+01,1.678e+04,1.684e+04
22.9,3.542e+01,2.689e+01,1.992e+04,1.998e+04
24.4,4.112e+01,3.047e+01,2.351e+04,2.358e+04
25.9,5.789e+01,2.963e+01,2.729e+04,2.738e+04
27.5,7.411e+01,3.348e+01,3.086e+04,3.097e+04
29.0,9.956e+01,3.672e+01,3.613e+04,3.627e+04
30.5,1.181e+02,3.479e+01,4.248e+04,4.263e+04
32.0,1.315e+02,3.630e+01,4.945e+04,4.961e+04
33.6,1.299e+02,4.004e+01,5.729e+04,5.746e+04
35.1,1.272e+02,4.828e+01,6.689e+04,6.706e+04
36.6,1.389e+02,5.777e+01,7.869e+04,7.889e+04
38.1,1.863e+02,7.219e+01,9.259e+04,9.285e+04
39.7,2.550e+02,9.368e+01,1.090e+05,1.094e+05
41.2,3.062e+02,1.178e+02,1.293e+05,1.297e+05
42.7,3.873e+02,1.445e+02,1.547e+05,1.552e+05
44.2,5.843e+02,1.979e+02,1.879e+05,1.887e+05
45.8,8.625e+02,2.694e+02,2.323e+05,2.335e+05
47.3,1.319e+03,3.623e+02,2.928e+05,2.945e+05
48.8,2.215e+03,5.179e+02,3.782e+05,3.809e+05
50.3,3.583e+03,8.225e+02,5.011e+05,5.055e+05
51.9,5.635e+03,1.261e+03,6.850e+05,6.919e+05
53.4,9.851e+03,1.978e+03,9.781e+05,9.899e+05
54.9,2.028e+04,4.250e+03,1.471e+06,1.496e+06
56.5,3.810e+04,1.001e+04,2.183e+06,2.231e+06
58.0,5.680e+04,1.691e+04,2.787e+06,2.861e+06
59.5,6.471e+04,2.356e+04,2.839e+06,2.928e+06
61.0,5.626e+04,2.306e+04,2.345e+06,2.424e+06
62.6,4.861e+04,2.052e+04,1.839e+06,1.909e+06
64.1,4.153e+04,1.958e+04,1.454e+06,1.515e+06
65.6,3.144e+04,1.701e+04,1.146e+06,1.194e+06
67.1,2.614e+04,1.438e+04,8.849e+05,9.254e+05
68.7,1.912e+04,1.038e+04,6.935e+05,7.230e+05
70.2,9.877e+03,7.226e+03,5.273e+05,5.444e+05
71.7,5.883e+03,5.943e+03,3.931e+05,4.050e+05
73.2,5.282e+03,5.447e+03,2.978e+05,3.085e+05
74.8,6.946e+03,6.117e+03,2.354e+05,2.485e+05
76.3,1.081e+04,8.075e+03,1.907e+05,2.096e+05
77.8,1.431e+04,1.016e+04,1.528e+05,1.772e+05
79.3,1.706e+04,1.214e+04,1.293e+05,1.585e+05
80.9,1.779e+04,1.262e+04,1.124e+05,1.428e+05
82.4,1.670e+04,1.174e+04,9.772e+04,1.262e+05
83.9,1.470e+04,1.025e+04,8.597e+04,1.109e+05
85.4,1.304e+04,9.126e+03,7.789e+04,1.000e+05
87.0,9.720e+03,6.798e+03,6.759e+04,8.410e+04
88.5,6.469e+03,4.442e+03,5.331e+04,6.422e+04
90.0,4.472e+03,2.840e+03,4.130e+04,4.861e+04
91.5,2.629e+03,1.526e+03,3.404e+04,3.819e+04
93.1,1.223e+03,6.997e+02,2.607e+04,2.799e+04
94.6,8.201e+02,9.727e+02,1.944e+04,2.123e+04
96.1,1.923e+03,2.222e+03,1.675e+04,2.089e+04
97.6,2.457e+03,2.552e+03,1.726e+04,2.227e+04
99.2,1.937e+03,2.482e+03,1.777e+04,2.219e+04
100.7,1.508e+03,2.654e+03,1.525e+04,1.942e+04
102.2,2.083e+03,2.574e+03,1.284e+04,1.749e+04
103.7,2.180e+03,1.524e+03,1.230e+04,1.601e+04
105.3,2.718e+03,1.321e+03,1.241e+04,1.645e+04
106.8,3.571e+03,1.662e+03,1.264e+04,1.787e+04
108.3,4.161e+03,1.564e+03,1.271e+04,1.843e+04
