freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.943e+01,5.217e+02,1.189e+01,5.530e+02
1.6,2.510e+01,3.114e+02,5.511e+01,3.916e+02
3.2,1.894e+01,4.339e+01,6.007e+01,1.224e+02
4.8,2.013e+01,5.334e+02,6.080e+01,6.143e+02
6.4,2.151e+01,1.690e+03,6.709e+01,1.778e+03
8.0,2.089e+01,1.831e+03,6.787e+01,1.920e+03
9.6,2.080e+01,2.386e+03,6.586e+01,2.472e+03
11.2,2.124e+01,3.718e+03,6.637e+01,3.806e+03
12.8,2.108e+01,5.374e+03,6.666e+01,5.462e+03
14.4,2.135e+01,7.412e+03,6.000e+01,7.494e+03
16.1,2.173e+01,9.723e+03,5.957e+01,9.804e+03
17.7,2.193e+01,1.258e+04,5.233e+01,1.265e+04
19.3,2.284e+01,1.615e+04,5.793e+01,1.623e+04
20.9,2.491e+01,2.055e+04,6.427e+01,2.064e+04
22.5,2.962e+01,2.639e+04,6.298e+01,2.649e+04
24.1,4.264e+01,3.398e+04,6.330e+01,3.408e+04
25.7,6.527e+01,4.511e+04,6.331e+01,4.524e+04
27.3,1.080e+02,5.840e+04,6.293e+01,5.857e+04
28.9,1.908e+02,7.361e+04,6.429e+01,7.387e+04
30.5,3.863e+02,1.048e+05,6.278e+01,1.052e+05
32.1,8.017e+02,1.564e+05,7.145e+01,1.573e+05
33.7,1.499e+03,2.375e+05,7.032e+01,2.390e+05
35.3,3.050e+03,3.698e+05,7.940e+01,3.729e+05
36.9,5.233e+03,5.867e+05,8.288e+01,5.920e+05
38.5,8.052e+03,9.339e+05,1.079e+02,9.421e+05
40.1,1.123e+04,1.248e+06,1.996e+02,1.259e+06
41.7,1.172e+04,1.226e+06,3.687e+02,1.238e+06
43.3,1.026e+04,9.896e+05,3.819e+02,1.000e+06
45.0,8.989e+03,7.252e+05,2.789e+02,7.345e+05
46.6,8.576e+03,5.347e+05,2.543e+02,5.436e+05
48.2,8.088e+03,3.883e+05,2.019e+02,3.966e+05
49.8,7.431e+03,2.759e+05,1.472e+02,2.835e+05
51.4,6.982e+03,2.056e+05,1.324e+02,2.127e+05
53.0,7.061e+03,1.589e+05,1.247e+02,1.661e+05
54.6,8.060e+03,1.270e+05,1.281e+02,1.352e+05
56.2,9.684e+03,1.023e+05,1.381e+02,1.122e+05
57.8,1.056e+04,7.703e+04,1.460e+02,8.774e+04
59.4,1.155e+04,6.231e+04,1.621e+02,7.402e+04
61.0,1.053e+04,5.423e+04,1.912e+02,6.495e+04
62.6,8.691e+03,4.564e+04,2.611e+02,5.459e+04
64.2,1.034e+04,3.492e+04,3.371e+02,4.560e+04
65.8,1.391e+04,2.536e+04,4.200e+02,3.969e+04
67.4,1.733e+04,1.827e+04,5.358e+02,3.614e+04
69.0,2.186e+04,1.391e+04,6.383e+02,3.641e+04
70.6,3.181e+04,1.110e+04,9.459e+02,4.386e+04
72.2,5.311e+04,1.340e+04,1.957e+03,6.846e+04
73.9,8.166e+04,2.878e+04,5.582e+03,1.160e+05
75.5,9.341e+04,4.941e+04,1.236e+04,1.552e+05
77.1,8.452e+04,6.000e+04,1.735e+04,1.619e+05
78.7,6.864e+04,6.174e+04,1.578e+04,1.462e+05
80.3,5.206e+04,5.689e+04,1.059e+04,1.195e+05
81.9,3.851e+04,4.804e+04,6.041e+03,9.259e+04
83.5,3.092e+04,4.387e+04,3.217e+03,7.801e+04
85.1,3.005e+04,4.823e+04,1.753e+03,8.003e+04
86.7,2.768e+04,4.913e+04,1.105e+03,7.791e+04
88.3,2.332e+04,4.401e+04,2.042e+03,6.937e+04
89.9,2.043e+04,4.090e+04,2.807e+03,6.414e+04
91.5,1.659e+04,3.483e+04,1.773e+03,5.319e+04
93.1,1.239e+04,2.644e+04,1.866e+03,4.070e+04
94.7,9.387e+03,2.089e+04,2.171e+03,3.245e+04
96.3,7.836e+03,1.904e+04,2.243e+03,2.912e+04
97.9,7.110e+03,1.715e+04,2.266e+03,2.653e+04
99.5,6.882e+03,1.313e+04,1.957e+03,2.197e+04
101.1,7.090e+03,8.697e+03,1.377e+03,1.716e+04
102.8,7.804e+03,8.249e+03,1.190e+03,1.724e+04
104.4,7.664e+03,2.154e+04,1.638e+03,3.084e+04
106.0,6.205e+03,4.226e+04,2.076e+03,5.054e+04
107.6,5.485e+03,5.128e+04,2.040e+03,5.880e+04
109.2,5.198e+03,4.295e+04,1.834e+03,4.999e+04
110.8,5.766e+03,4.020e+04,1.473e+03,4.744e+04
112.4,5.871e+03,4.285e+04,7.216e+02,4.944e+04
114.0,7.215e+03,4.784e+04,6.478e+02,5.571e+04
115.6,8.946e+03,4.965e+04,6.520e+02,5.925e+04
117.2,8.713e+03,5.730e+04,6.699e+02,6.668e+04
118.8,6.010e+03,6.016e+04,8.270e+02,6.699e+04
120.4,3.117e+03,5.682e+04,1.236e+03,6.117e+04
122.0,1.583e+03,6.163e+04,1.471e+03,6.468e+04
123.6,7.719e+02,6.376e+04,1.426e+03,6.596e+04
125.2,3.553e+02,6.067e+04,1.279e+03,6.231e+04
126.8,2.180e+02,5.750e+04,1.145e+03,5.886e+04
128.4,1.421e+02,5.364e+04,1.071e+03,5.485e+04
130.0,1.394e+02,5.185e+04,1.185e+03,5.318e+04
131.7,1.908e+02,4.921e+04,1.136e+03,5.053e+04
133.3,1.493e+02,2.483e+04,6.153e+02,2.560e+04
134.9,8.978e+01,4.018e+03,2.219e+02,4.329e+03
136.5,8.242e+01,2.702e+03,2.063e+02,2.991e+03
138.1,7.018e+01,2.751e+03,2.217e+02,3.042e+03
139.7,6.887e+01,2.714e+03,2.723e+02,3.055e+03
141.3,6.516e+01,2.569e+03,2.549e+02,2.889e+03
142.9,6.923e+01,2.278e+03,2.595e+02,2.606e+03
144.5,7.874e+01,2.067e+03,2.405e+02,2.387e+03
146.1,8.257e+01,1.958e+03,2.295e+02,2.270e+03
147.7,7.419e+01,1.922e+03,2.207e+02,2.217e+03
149.3,6.631e+01,2.180e+03,2.372e+02,2.484e+03
150.9,6.220e+01,2.173e+03,2.475e+02,2.483e+03
152.5,5.759e+01,1.784e+03,2.075e+02,2.049e+03
154.1,4.986e+01,1.433e+03,1.697e+02,1.653e+03
155.7,4.019e+01,1.124e+03,1.424e+02,1.307e+03
157.3,3.270e+01,9.203e+02,1.234e+02,1.076e+03
158.9,3.209e+01,8.117e+02,1.315e+02,9.753e+02
160.6,3.534e+01,7.023e+02,1.480e+02,8.856e+02
162.2,3.867e+01,6.744e+02,1.634e+02,8.764e+02
163.8,4.233e+01,6.927e+02,1.882e+02,9.232e+02
165.4,4.065e+01,6.996e+02,2.068e+02,9.470e+02
167.0,3.768e+01,6.722e+02,1.960e+02,9.058e+02
168.6,4.308e+01,6.697e+02,1.763e+02,8.891e+02
170.2,4.675e+01,7.613e+02,1.489e+02,9.570e+02
171.8,5.297e+01,1.081e+03,1.425e+02,1.276e+03
173.4,5.428e+01,1.323e+03,1.420e+02,1.520e+03
175.0,5.668e+01,1.354e+03,1.637e+02,1.575e+03
176.6,5.897e+01,1.377e+03,2.090e+02,1.645e+03
178.2,6.525e+01,1.435e+03,2.776e+02,1.778e+03
179.8,7.334e+01,1.373e+03,3.229e+02,1.769e+03
181.4,8.344e+01,9.797e+02,3.022e+02,1.365e+03
183.0,8.880e+01,8.378e+02,3.547e+02,1.281e+03
184.6,9.200e+01,7.684e+02,3.599e+02,1.220e+03
186.2,1.115e+02,7.272e+02,3.017e+02,1.140e+03
187.8,1.414e+02,7.962e+02,3.072e+02,1.245e+03
189.5,1.645e+02,8.476e+02,4.522e+02,1.464e+03
191.1,1.914e+02,1.047e+03,7.658e+02,2.004e+03
192.7,2.125e+02,1.524e+03,1.049e+03,2.786e+03
194.3,2.250e+02,2.260e+03,1.266e+03,3.750e+03
195.9,2.233e+02,2.324e+03,1.174e+03,3.721e+03
197.5,2.141e+02,1.822e+03,9.741e+02,3.010e+03
199.1,2.317e+02,2.093e+03,1.024e+03,3.349e+03
