freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.267e+00,6.555e+00,3.117e+02,3.275e+02
1.5,1.965e+01,1.671e+01,1.971e+02,2.334e+02
3.1,1.829e+01,1.761e+01,3.849e+01,7.439e+01
4.6,1.689e+01,1.843e+01,3.132e+02,3.485e+02
6.1,1.865e+01,1.764e+01,1.210e+03,1.246e+03
7.6,1.934e+01,1.923e+01,1.816e+03,1.855e+03
9.2,1.825e+01,2.071e+01,2.474e+03,2.513e+03
10.7,1.846e+01,2.134e+01,3.444e+03,3.484e+03
12.2,1.774e+01,2.010e+01,4.402e+03,4.440e+03
13.7,1.896e+01,2.062e+01,5.704e+03,5.744e+03
15.3,1.948e+01,2.106e+01,7.202e+03,7.243e+03
16.8,1.974e+01,2.087e+01,8.826e+03,8.867e+03
18.3,2.017e+01,2.047e+01,1.092e+04,1.096e+04
19.8,2.152e+01,1.924e+01,1.337e+04,1.341e+04
21.4,2.328e+01,1.883e+01,1.583e+04,1.587e+04
22.9,2.403e+01,2.008e+01,1.859e+04,1.864e+04
24.4,2.015e+01,1.896e+01,2.179e+04,2.183e+04
26.0,2.017e+01,1.976e+01,2.519e+04,2.523e+04
27.5,1.757e+01,2.097e+01,2.834e+04,2.837e+04
29.0,1.911e+01,2.011e+01,3.310e+04,3.314e+04
30.5,2.419e+01,1.894e+01,3.898e+04,3.903e+04
32.1,2.944e+01,2.130e+01,4.571e+04,4.576e+04
33.6,3.581e+01,2.526e+01,5.323e+04,5.329e+04
35.1,4.363e+01,3.075e+01,6.205e+04,6.213e+04
36.6,5.024e+01,3.839e+01,7.240e+04,7.249e+04
38.2,4.582e+01,4.581e+01,8.540e+04,8.549e+04
39.7,3.275e+01,6.026e+01,1.017e+05,1.018e+05
41.2,2.418e+01,8.078e+01,1.215e+05,1.216e+05
42.7,3.407e+01,1.094e+02,1.455e+05,1.457e+05
44.3,6.054e+01,1.545e+02,1.792e+05,1.794e+05
45.8,1.397e+02,2.244e+02,2.261e+05,2.265e+05
47.3,4.136e+02,3.313e+02,2.950e+05,2.957e+05
48.9,1.503e+03,5.207e+02,4.028e+05,4.049e+05
50.4,4.782e+03,8.947e+02,5.400e+05,5.457e+05
51.9,9.619e+03,1.231e+03,6.231e+05,6.339e+05
53.4,1.167e+04,1.190e+03,6.600e+05,6.728e+05
55.0,1.268e+04,1.222e+03,6.572e+05,6.711e+05
56.5,1.488e+04,1.383e+03,6.155e+05,6.317e+05
58.0,1.705e+04,1.454e+03,5.636e+05,5.821e+05
59.5,1.965e+04,1.468e+03,4.933e+05,5.145e+05
61.1,1.980e+04,1.306e+03,4.259e+05,4.470e+05
62.6,1.727e+04,1.013e+03,3.718e+05,3.901e+05
64.1,1.721e+04,1.055e+03,3.085e+05,3.267e+05
65.6,2.008e+04,1.308e+03,2.463e+05,2.677e+05
67.2,1.813e+04,9.963e+02,2.048e+05,2.239e+05
68.7,1.202e+04,4.440e+02,1.777e+05,1.902e+05
70.2,5.435e+03,1.463e+02,1.544e+05,1.600e+05
71.8,2.061e+03,8.492e+01,1.283e+05,1.305e+05
73.3,7.490e+02,1.077e+02,1.043e+05,1.051e+05
74.8,2.306e+02,1.389e+02,8.442e+04,8.479e+04
76.3,2.330e+02,1.516e+02,7.159e+04,7.197e+04
77.9,4.568e+02,1.480e+02,6.172e+04,6.232e+04
79.4,6.898e+02,1.308e+02,5.331e+04,5.413e+04
80.9,8.171e+02,1.124e+02,4.584e+04,4.677e+04
82.4,9.495e+02,1.033e+02,3.829e+04,3.934e+04
84.0,1.170e+03,1.088e+02,3.186e+04,3.314e+04
85.5,1.390e+03,9.668e+01,2.688e+04,2.837e+04
87.0,1.457e+03,6.671e+01,2.214e+04,2.367e+04
88.5,1.661e+03,5.599e+01,1.935e+04,2.107e+04
90.1,2.078e+03,8.180e+01,1.986e+04,2.202e+04
91.6,2.441e+03,1.030e+02,2.015e+04,2.269e+04
93.1,3.268e+03,1.133e+02,2.110e+04,2.448e+04
94.7,5.480e+03,1.079e+02,2.128e+04,2.686e+04
96.2,7.816e+03,1.080e+02,2.146e+04,2.939e+04
97.7,8.249e+03,1.730e+02,2.591e+04,3.433e+04
99.2,6.941e+03,3.018e+02,3.142e+04,3.866e+04
100.8,5.366e+03,8.135e+02,3.498e+04,4.116e+04
102.3,4.318e+03,1.811e+03,4.356e+04,4.969e+04
103.8,2.730e+03,3.425e+03,5.520e+04,6.136e+04
105.3,1.324e+03,5.547e+03,7.043e+04,7.730e+04
106.9,1.406e+03,6.410e+03,8.419e+04,9.201e+04
108.4,2.229e+03,5.511e+03,8.929e+04,9.703e+04
109.9,2.151e+03,5.252e+03,9.184e+04,9.925e+04
111.4,1.934e+03,5.459e+03,9.303e+04,1.004e+05
113.0,2.147e+03,1.036e+04,1.125e+05,1.250e+05
114.5,2.703e+03,1.787e+04,1.396e+05,1.601e+05
116.0,3.284e+03,2.159e+04,1.465e+05,1.714e+05
117.6,3.458e+03,2.026e+04,1.240e+05,1.477e+05
119.1,4.500e+03,2.144e+04,1.304e+05,1.564e+05
120.6,5.054e+03,2.387e+04,1.577e+05,1.866e+05
122.1,4.292e+03,2.331e+04,1.643e+05,1.919e+05
123.7,3.673e+03,2.156e+04,1.703e+05,1.955e+05
125.2,3.375e+03,2.279e+04,1.843e+05,2.104e+05
126.7,3.465e+03,2.426e+04,1.925e+05,2.202e+05
128.2,3.779e+03,2.512e+04,2.041e+05,2.330e+05
129.8,4.209e+03,2.730e+04,2.131e+05,2.447e+05
131.3,4.497e+03,2.701e+04,2.000e+05,2.315e+05
132.8,2.670e+03,1.557e+04,1.089e+05,1.271e+05
134.3,4.510e+02,3.225e+03,1.667e+04,2.034e+04
135.9,2.652e+02,2.186e+03,8.430e+03,1.088e+04
137.4,2.845e+02,2.083e+03,8.448e+03,1.082e+04
138.9,2.771e+02,1.971e+03,7.895e+03,1.014e+04
140.5,2.847e+02,1.946e+03,7.719e+03,9.950e+03
142.0,3.042e+02,1.879e+03,7.742e+03,9.926e+03
143.5,3.190e+02,1.863e+03,8.089e+03,1.027e+04
145.0,3.552e+02,1.871e+03,8.966e+03,1.119e+04
146.6,4.450e+02,1.707e+03,9.833e+03,1.199e+04
148.1,6.243e+02,1.393e+03,1.019e+04,1.220e+04
149.6,9.307e+02,1.096e+03,1.091e+04,1.294e+04
151.1,1.364e+03,8.925e+02,1.256e+04,1.482e+04
152.7,1.897e+03,6.825e+02,1.472e+04,1.730e+04
154.2,2.360e+03,5.236e+02,1.699e+04,1.988e+04
155.7,2.669e+03,3.613e+02,1.787e+04,2.090e+04
157.2,2.704e+03,2.572e+02,1.622e+04,1.918e+04
158.8,2.941e+03,2.137e+02,1.538e+04,1.854e+04
160.3,3.105e+03,1.870e+02,1.441e+04,1.770e+04
161.8,3.460e+03,1.857e+02,1.336e+04,1.701e+04
163.4,3.660e+03,2.529e+02,1.145e+04,1.536e+04
164.9,3.535e+03,3.618e+02,8.768e+03,1.266e+04
166.4,3.808e+03,5.245e+02,7.121e+03,1.145e+04
167.9,4.133e+03,6.780e+02,6.221e+03,1.103e+04
169.5,4.431e+03,7.828e+02,6.347e+03,1.156e+04
171.0,4.381e+03,7.815e+02,6.343e+03,1.151e+04
172.5,4.484e+03,8.028e+02,6.515e+03,1.180e+04
174.0,4.676e+03,7.823e+02,7.059e+03,1.252e+04
175.6,4.588e+03,6.911e+02,7.462e+03,1.274e+04
177.1,4.545e+03,6.827e+02,7.793e+03,1.302e+04
178.6,4.614e+03,8.654e+02,8.418e+03,1.390e+04
180.1,4.818e+03,9.554e+02,9.747e+03,1.552e+04
181.7,4.602e+03,7.408e+02,9.638e+03,1.498e+04
183.2,4.224e+03,5.068e+02,9.453e+03,1.418e+04
184.7,4.527e+03,4.662e+02,1.082e+04,1.581e+04
186.3,4.889e+03,4.688e+02,1.232e+04,1.768e+04
187.8,4.603e+03,3.947e+02,1.216e+04,1.716e+04
189.3,4.113e+03,3.642e+02,1.129e+04,1.577e+04
190.8,3.878e+03,3.020e+02,1.122e+04,1.540e+04
192.4,3.670e+03,3.014e+02,1.126e+04,1.523e+04
193.9,3.803e+03,4.132e+02,1.269e+04,1.691e+04
195.4,3.665e+03,5.586e+02,1.317e+04,1.739e+04
196.9,3.269e+03,7.278e+02,1.205e+04,1.605e+04
198.5,2.917e+03,9.089e+02,1.114e+04,1.497e+04
200.0,2.741e+03,1.133e+03,1.038e+04,1.426e+04
