freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.128e+01,5.134e+02,5.167e+00,5.498e+02
1.5,3.080e+01,2.988e+02,2.229e+01,3.519e+02
3.1,1.671e+01,2.467e+01,2.482e+01,6.620e+01
4.6,1.605e+01,3.120e+02,2.375e+01,3.518e+02
6.1,1.484e+01,1.238e+03,2.527e+01,1.278e+03
7.6,1.581e+01,1.861e+03,3.482e+01,1.911e+03
9.2,1.674e+01,2.038e+03,3.016e+01,2.085e+03
10.7,1.732e+01,2.760e+03,2.541e+01,2.803e+03
12.2,1.666e+01,4.034e+03,2.708e+01,4.078e+03
13.7,1.553e+01,5.677e+03,2.811e+01,5.720e+03
15.3,1.482e+01,7.770e+03,2.657e+01,7.812e+03
16.8,1.473e+01,1.007e+04,2.349e+01,1.011e+04
18.3,1.654e+01,1.251e+04,2.353e+01,1.255e+04
19.8,1.836e+01,1.585e+04,2.557e+01,1.590e+04
21.4,2.219e+01,2.010e+04,2.796e+01,2.015e+04
22.9,2.566e+01,2.543e+04,2.658e+01,2.548e+04
24.4,3.319e+01,3.189e+04,2.971e+01,3.195e+04
25.9,4.102e+01,3.991e+04,3.555e+01,3.998e+04
27.5,6.579e+01,5.032e+04,3.099e+01,5.041e+04
29.0,9.403e+01,5.819e+04,2.944e+01,5.831e+04
30.5,1.402e+02,7.290e+04,2.975e+01,7.307e+04
32.0,2.487e+02,9.929e+04,3.017e+01,9.957e+04
33.6,3.861e+02,1.356e+05,3.191e+01,1.360e+05
35.1,6.476e+02,1.920e+05,3.361e+01,1.927e+05
36.6,1.687e+03,2.872e+05,3.456e+01,2.890e+05
38.1,4.166e+03,4.575e+05,4.041e+01,4.617e+05
39.7,8.076e+03,8.071e+05,6.814e+01,8.152e+05
41.2,1.461e+04,1.427e+06,1.613e+02,1.441e+06
42.7,2.131e+04,1.704e+06,1.903e+02,1.725e+06
44.2,2.267e+04,1.446e+06,1.146e+02,1.468e+06
45.8,2.085e+04,1.055e+06,9.471e+01,1.076e+06
47.3,1.924e+04,7.548e+05,5.244e+01,7.741e+05
48.8,1.745e+04,5.251e+05,3.299e+01,5.425e+05
50.3,1.613e+04,3.672e+05,2.951e+01,3.834e+05
51.9,1.544e+04,2.613e+05,2.962e+01,2.768e+05
53.4,1.501e+04,1.921e+05,3.047e+01,2.072e+05
54.9,1.499e+04,1.429e+05,3.122e+01,1.579e+05
56.5,1.591e+04,1.071e+05,3.053e+01,1.231e+05
58.0,1.769e+04,8.111e+04,2.855e+01,9.882e+04
59.5,2.035e+04,6.144e+04,2.735e+01,8.181e+04
61.0,2.204e+04,4.636e+04,4.039e+01,6.844e+04
62.6,2.514e+04,3.345e+04,4.298e+01,5.864e+04
64.1,3.251e+04,2.208e+04,3.298e+01,5.462e+04
65.6,4.407e+04,1.368e+04,3.775e+01,5.779e+04
67.1,5.861e+04,9.936e+03,4.485e+01,6.860e+04
68.7,6.770e+04,1.111e+04,6.730e+01,7.888e+04
70.2,6.695e+04,1.487e+04,1.127e+02,8.193e+04
71.7,7.027e+04,2.041e+04,1.817e+02,9.087e+04
73.2,8.206e+04,2.992e+04,3.661e+02,1.123e+05
74.8,8.941e+04,4.012e+04,6.945e+02,1.302e+05
76.3,9.650e+04,5.206e+04,9.208e+02,1.495e+05
77.8,1.043e+05,6.823e+04,7.284e+02,1.733e+05
79.3,1.080e+05,8.317e+04,1.668e+03,1.929e+05
80.9,1.231e+05,1.096e+05,3.275e+03,2.359e+05
82.4,1.272e+05,1.281e+05,3.846e+03,2.591e+05
83.9,1.090e+05,1.215e+05,3.851e+03,2.343e+05
85.4,8.451e+04,1.034e+05,3.645e+03,1.915e+05
87.0,6.467e+04,8.435e+04,3.062e+03,1.521e+05
88.5,5.024e+04,6.685e+04,2.457e+03,1.195e+05
90.0,3.923e+04,5.130e+04,1.859e+03,9.239e+04
91.5,3.268e+04,4.071e+04,1.175e+03,7.456e+04
93.1,2.829e+04,3.329e+04,7.729e+02,6.236e+04
94.6,2.473e+04,2.819e+04,5.212e+02,5.345e+04
96.1,2.240e+04,2.556e+04,5.097e+02,4.848e+04
97.6,2.133e+04,2.399e+04,6.620e+02,4.597e+04
99.2,2.055e+04,2.276e+04,8.116e+02,4.413e+04
100.7,1.838e+04,2.291e+04,6.620e+02,4.195e+04
102.2,1.653e+04,2.697e+04,5.489e+02,4.405e+04
103.7,1.500e+04,3.618e+04,3.817e+02,5.157e+04
105.3,1.107e+04,6.019e+04,2.274e+02,7.149e+04
106.8,8.501e+03,7.467e+04,1.678e+02,8.333e+04
108.3,8.115e+03,6.730e+04,1.209e+02,7.553e+04
109.9,7.636e+03,5.580e+04,9.792e+01,6.354e+04
111.4,6.864e+03,5.078e+04,1.143e+02,5.776e+04
