freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.575e+01,3.517e+02,7.141e+00,3.846e+02
1.5,2.404e+01,2.069e+02,2.260e+01,2.535e+02
3.1,1.498e+01,2.338e+01,2.306e+01,6.142e+01
4.6,1.442e+01,3.103e+02,2.397e+01,3.487e+02
6.1,1.405e+01,1.260e+03,2.683e+01,1.301e+03
7.6,1.473e+01,1.855e+03,2.962e+01,1.899e+03
9.2,1.434e+01,2.010e+03,2.607e+01,2.050e+03
10.7,1.486e+01,2.834e+03,2.435e+01,2.873e+03
12.2,1.657e+01,4.220e+03,2.534e+01,4.262e+03
13.7,1.629e+01,5.787e+03,2.532e+01,5.829e+03
15.3,1.661e+01,7.590e+03,2.650e+01,7.633e+03
16.8,1.673e+01,9.544e+03,3.355e+01,9.595e+03
18.3,1.846e+01,1.192e+04,3.877e+01,1.198e+04
19.8,2.184e+01,1.501e+04,4.206e+01,1.507e+04
21.4,2.966e+01,1.882e+04,4.981e+01,1.890e+04
22.9,4.115e+01,2.357e+04,5.114e+01,2.366e+04
24.4,5.783e+01,2.931e+04,4.746e+01,2.942e+04
25.9,7.510e+01,3.701e+04,5.974e+01,3.715e+04
27.5,1.126e+02,4.679e+04,1.047e+02,4.701e+04
29.0,1.586e+02,5.356e+04,1.002e+02,5.382e+04
30.5,2.418e+02,6.673e+04,8.586e+01,6.705e+04
32.1,4.203e+02,9.055e+04,9.361e+01,9.106e+04
33.6,5.739e+02,1.212e+05,1.139e+02,1.219e+05
35.1,8.671e+02,1.690e+05,1.319e+02,1.700e+05
36.6,1.839e+03,2.493e+05,1.674e+02,2.513e+05
38.2,3.863e+03,3.875e+05,2.746e+02,3.917e+05
39.7,7.013e+03,6.076e+05,4.899e+02,6.151e+05
41.2,1.095e+04,8.805e+05,8.759e+02,8.924e+05
42.7,1.433e+04,1.046e+06,9.339e+02,1.062e+06
44.3,1.597e+04,9.716e+05,7.582e+02,9.883e+05
45.8,1.574e+04,7.570e+05,6.187e+02,7.734e+05
47.3,1.468e+04,5.561e+05,6.815e+02,5.715e+05
48.8,1.314e+04,3.935e+05,8.167e+02,4.075e+05
50.4,1.195e+04,2.832e+05,9.273e+02,2.961e+05
51.9,1.144e+04,2.073e+05,1.046e+03,2.198e+05
53.4,1.164e+04,1.571e+05,1.310e+03,1.701e+05
54.9,1.215e+04,1.208e+05,1.378e+03,1.343e+05
56.5,1.358e+04,9.258e+04,1.435e+03,1.076e+05
58.0,1.594e+04,6.999e+04,2.129e+03,8.806e+04
59.5,1.926e+04,5.146e+04,3.683e+03,7.441e+04
61.0,2.332e+04,3.832e+04,5.976e+03,6.761e+04
62.6,2.822e+04,2.772e+04,6.886e+03,6.282e+04
64.1,3.818e+04,1.758e+04,5.969e+03,6.172e+04
65.6,5.715e+04,1.014e+04,5.527e+03,7.282e+04
67.2,8.388e+04,1.046e+04,5.968e+03,1.003e+05
68.7,1.000e+05,1.908e+04,5.514e+03,1.246e+05
70.2,9.334e+04,2.828e+04,3.458e+03,1.251e+05
71.7,8.649e+04,3.772e+04,1.341e+03,1.256e+05
73.3,8.720e+04,5.211e+04,8.973e+02,1.402e+05
74.8,8.619e+04,6.876e+04,1.644e+03,1.566e+05
76.3,8.193e+04,8.203e+04,2.778e+03,1.667e+05
77.8,7.390e+04,8.589e+04,3.536e+03,1.633e+05
79.4,6.748e+04,8.830e+04,3.594e+03,1.594e+05
80.9,6.692e+04,9.881e+04,3.272e+03,1.690e+05
82.4,6.579e+04,1.077e+05,2.557e+03,1.760e+05
83.9,6.153e+04,1.072e+05,2.298e+03,1.711e+05
85.5,5.757e+04,1.039e+05,2.339e+03,1.638e+05
87.0,5.367e+04,9.583e+04,2.752e+03,1.523e+05
88.5,4.931e+04,8.140e+04,2.625e+03,1.333e+05
90.0,4.306e+04,6.248e+04,1.394e+03,1.069e+05
91.6,3.549e+04,4.872e+04,6.168e+02,8.484e+04
93.1,2.890e+04,4.672e+04,4.845e+02,7.610e+04
94.6,2.568e+04,5.029e+04,4.264e+02,7.639e+04
